case_idx,split,passed,failure_type,schema_used,prompt,gold_query,submitted_query,error,duration_seconds
50,evals_hard,True,NONE,Airline,"Show carrier performance with counts of on-time, moderately delayed, and severely delayed flights.","SELECT UniqueCarrier, SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) as on_time, SUM(CASE WHEN ArrDelayMinutes > 15 AND ArrDelayMinutes <= 180 THEN 1 ELSE 0 END) as moderate_delays, SUM(CASE WHEN ArrDelayMinutes > 180 THEN 1 ELSE 0 END) as severe_delays FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY UniqueCarrier","SELECT UniqueCarrier,
       SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) AS on_time_flights,
       SUM(CASE WHEN ArrDelayMinutes > 15 AND ArrDelayMinutes <= 180 THEN 1 ELSE 0 END) AS moderately_delayed_flights,
       SUM(CASE WHEN ArrDelayMinutes > 180 THEN 1 ELSE 0 END) AS severely_delayed_flights
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE Cancelled = 0
  AND DepTime IS NOT NULL
  AND ArrTime IS NOT NULL
  AND (WeatherDelay IS NULL OR WeatherDelay = 0)
GROUP BY UniqueCarrier
ORDER BY UniqueCarrier",,32.488623791374266
51,evals_hard,False,MISMATCH,lahman_2014,"Find the top 50 players by career batting average, only including players with at least 500 career at-bats.","SELECT p.nameFirst, p.nameLast, CAST(SUM(b.H) AS REAL) / SUM(b.AB) as career_ba FROM lahman_2014.batting b JOIN lahman_2014.players p ON b.playerID = p.playerID WHERE b.AB >= 100 GROUP BY p.playerID, p.nameFirst, p.nameLast HAVING SUM(b.AB) >= 500 ORDER BY career_ba DESC LIMIT 50","SELECT p.playerID, p.nameFirst, p.nameLast,
       SUM(b.H) AS total_hits,
       SUM(b.AB) AS total_atbats,
       CAST(SUM(b.H) AS DOUBLE) / NULLIF(SUM(b.AB),0) AS career_batting_avg
FROM lahman_2014.batting b
JOIN lahman_2014.players p ON b.playerID = p.playerID
GROUP BY p.playerID, p.nameFirst, p.nameLast
HAVING SUM(b.AB) >= 500
ORDER BY career_batting_avg DESC
LIMIT 50;",Results do not match,36.2564589176327
52,evals_hard,False,MISMATCH,Chess,Identify games with rating mismatches (Elo difference > 400 points) that should be weighted 0.5x in opening analysis.,"SELECT g.game_id, g.white, g.black, g.whiteElo, g.BlackElo, ABS(g.whiteElo - g.BlackElo) as elo_diff, o.name as opening FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE g.whiteElo IS NOT NULL AND g.BlackElo IS NOT NULL AND ABS(g.whiteElo - g.BlackElo) > 400 AND o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%'","SELECT game_id, opening_id, 0.5 AS weight FROM Chess.game WHERE ABS(whiteElo - BlackElo) > 400",Results do not match,32.45370499975979
53,evals_hard,False,MISMATCH,Chess,"Calculate win rates for White players (with at least 5 games). Return the 30 players with the highest win rates, ordered by win rate descending.","SELECT g.white as player, CAST(SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) AS REAL) / COUNT(*) as win_rate FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY g.white HAVING COUNT(*) >= 5 ORDER BY win_rate DESC LIMIT 30","SELECT white,
       COUNT(*) AS total_games,
       SUM(CASE WHEN game_result = '1-0' THEN 1 ELSE 0 END) * 1.0 / COUNT(*) AS win_rate
FROM Chess.game
GROUP BY white
HAVING COUNT(*) >= 5
ORDER BY win_rate DESC, total_games DESC
LIMIT 30",Results do not match,8.971348541788757
54,evals_hard,False,AGENT_ERROR,financial,"Show the region, loan count, total loan amount, and average loan amount for each loan classification. Label Prague as 'Prague' and other districts as 'Other Districts'.","SELECT CASE WHEN d.district_id = 1 THEN 'Prague' ELSE 'Other Districts' END as region, COUNT(l.loan_id) as loan_count, SUM(l.amount) as total_loan_amount, AVG(l.amount) as avg_loan_amount FROM financial.district d JOIN financial.account a ON d.district_id = a.district_id JOIN financial.loan l ON a.account_id = l.account_id GROUP BY CASE WHEN d.district_id = 1 THEN 'Prague' ELSE 'Other Districts' END",,Agent error: Max iterations reached,44.416545666754246
55,evals_hard,True,NONE,financial,"Aggregate loan statistics for districts 70-77 as a single 'Eastern Region' entity, showing total loans and average loan amount for performing loans only.","SELECT 'Eastern Region' as region, COUNT(l.loan_id) as total_loans, AVG(l.amount) as avg_loan_amount FROM financial.district d JOIN financial.account a ON d.district_id = a.district_id JOIN financial.loan l ON a.account_id = l.account_id WHERE d.district_id BETWEEN 70 AND 77 AND l.status = 'A'","SELECT 'Eastern Region' AS region,
       COUNT(*) AS total_loans,
       AVG(l.amount) AS avg_loan_amount
FROM financial.loan l
JOIN financial.account a ON l.account_id = a.account_id
JOIN financial.district d ON a.district_id = d.district_id
WHERE l.status = 'A'  -- performing loans
  AND d.district_id BETWEEN 70 AND 77;",,9.421146292239428
56,evals_hard,False,AGENT_ERROR,lahman_2014,Find the names and years of the top 50 Hall of Fame players by career hits.,"SELECT p.nameFirst, p.nameLast, h.yearID as inducted_year, sum(b.H) as career_hits FROM lahman_2014.halloffame h JOIN lahman_2014.players p ON h.hofID = p.hofID JOIN lahman_2014.batting b ON p.playerID = b.playerID WHERE h.inducted = 'Y' AND h.category = 'Player' GROUP BY p.playerID, p.nameFirst, p.nameLast, h.yearID HAVING SUM(b.AB) >= 100 ORDER BY career_hits DESC LIMIT 50",,Agent error: Max iterations reached,38.44866441749036
57,evals_hard,False,AGENT_ERROR,Airline,"Find the top route with the most severe delays. Only count completed flights. Show the origin, destination, and number of severe delays.","SELECT Origin, Dest, COUNT(*) as severe_delay_count FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE ArrDelayMinutes > 180 AND DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY Origin, Dest ORDER BY severe_delay_count DESC LIMIT 1",,Agent error: Max iterations reached,25.15044299978763
58,evals_hard,False,AGENT_ERROR,Credit,"Find the top 50 member-quarters by charge count. I want to see the member's first and last name, the statement number, the charge count, and the total charges.","SELECT m.firstname, m.lastname, c.statement_no, COUNT(*) as charge_count, SUM(c.charge_amt) as total_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY m.member_no, m.firstname, m.lastname, c.statement_no ORDER BY charge_count DESC LIMIT 50",,Agent error: Max iterations reached,35.10058520920575
59,evals_hard,False,AGENT_ERROR,Chess,"Find the top three draw results in chess games, grouped by opening id and name.","SELECT o.name as opening_name, COUNT(*) as draw_count FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE g.game_result = '1/2-1/2' AND o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY o.opening_id, o.name ORDER BY draw_count DESC LIMIT 3",,Agent error: Max iterations reached,37.75016137491912
60,evals_hard,True,NONE,ErgastF1,"Compare Mercedes teammate performance in the 2015 F1 season, showing race-by-race position comparisons where both drivers finished. Return raceId, year, constructor name, driver1 surname, driver2 surname, driver1_pos, and driver2_pos.","SELECT r1.raceId, ra.year, c.name as constructor, d1.surname as driver1, d2.surname as driver2, r1.position as driver1_pos, r2.position as driver2_pos FROM ErgastF1.results r1 JOIN ErgastF1.results r2 ON r1.raceId = r2.raceId AND r1.constructorId = r2.constructorId AND r1.driverId < r2.driverId JOIN ErgastF1.drivers d1 ON r1.driverId = d1.driverId JOIN ErgastF1.drivers d2 ON r2.driverId = d2.driverId JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId JOIN ErgastF1.races ra ON r1.raceId = ra.raceId WHERE r1.position IS NOT NULL AND r2.position IS NOT NULL AND r1.position > 0 AND r2.position > 0 AND ra.year = 2015 AND c.name = 'Mercedes'","WITH mercedes_drivers AS (
  SELECT driverId, surname FROM ErgastF1.drivers WHERE surname IN ('Hamilton','Rosberg')
),
mercedes_results AS (
  SELECT r.raceId, r.year, res.constructorId, res.driverId, res.position
  FROM ErgastF1.results res
  JOIN ErgastF1.races r ON res.raceId = r.raceId
  WHERE r.year = 2015
    AND res.constructorId = (SELECT constructorId FROM ErgastF1.constructors WHERE name = 'Mercedes')
    AND res.driverId IN (SELECT driverId FROM mercedes_drivers)
    AND res.position IS NOT NULL
)
SELECT 
  mr1.raceId,
  r.year,
  c.name AS constructor_name,
  d1.surname AS driver1_surname,
  d2.surname AS driver2_surname,
  mr1.position AS driver1_pos,
  mr2.position AS driver2_pos
FROM mercedes_results mr1
JOIN mercedes_results mr2 ON mr1.raceId = mr2.raceId AND mr1.driverId <> mr2.driverId
JOIN ErgastF1.races r ON mr1.raceId = r.raceId
JOIN ErgastF1.constructors c ON mr1.constructorId = c.constructorId
JOIN ErgastF1.drivers d1 ON mr1.driverId = d1.driverId
JOIN ErgastF1.drivers d2 ON mr2.driverId = d2.driverId
WHERE d1.surname = 'Hamilton' AND d2.surname = 'Rosberg'
GROUP BY mr1.raceId, r.year, c.name, d1.surname, d2.surname, mr1.position, mr2.position
ORDER BY mr1.raceId;",,45.49235158320516
61,evals_hard,False,AGENT_ERROR,financial,"Find the top 30 accounts by total absolute transaction volume, excluding legacy transactions?","SELECT a.account_id, SUM(ABS(t.amount)) as total_volume FROM financial.account a JOIN financial.trans t ON a.account_id = t.account_id WHERE (t.k_symbol IS NULL OR t.k_symbol != 'UROK') AND t.date >= '1995-01-01' GROUP BY a.account_id ORDER BY total_volume DESC LIMIT 30",,Agent error: Max iterations reached,31.217791291885078
62,evals_hard,False,AGENT_ERROR,ErgastF1,"Find the top 30 F1 drivers (first name and last name) by race completion rate, only including drivers with at least 50 race starts. Include total races, completed races, and completion rate.","SELECT d.forename, d.surname, COUNT(*) as total_races, SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END) as completed_races, CAST(SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END) AS REAL) / COUNT(*) as completion_rate FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId GROUP BY d.driverId, d.forename, d.surname HAVING COUNT(*) >= 50 ORDER BY completion_rate DESC LIMIT 30",,Agent error: Max iterations reached,35.15324345882982
63,evals_hard,False,MISMATCH,Chess,"For each ECO code, show the game count, white wins, black wins, and draws. Only include ECO codes with at least 5 games.","SELECT g.ECO, COUNT(*) as game_count, SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) as white_wins, SUM(CASE WHEN g.game_result = '0-1' THEN 1 ELSE 0 END) as black_wins, SUM(CASE WHEN g.game_result = '1/2-1/2' THEN 1 ELSE 0 END) as draws FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' AND g.ECO IS NOT NULL GROUP BY g.ECO HAVING COUNT(*) >= 5","SELECT ECO,
       COUNT(*) AS total_games,
       SUM(CASE WHEN game_result = '1-0' THEN 1 ELSE 0 END) AS white_wins,
       SUM(CASE WHEN game_result = '0-1' THEN 1 ELSE 0 END) AS black_wins,
       SUM(CASE WHEN game_result = '1/2-1/2' THEN 1 ELSE 0 END) AS draws
FROM Chess.game
GROUP BY ECO
HAVING COUNT(*) >= 5
ORDER BY ECO",Results do not match,18.341462833806872
