case_idx,split,passed,failure_type,schema_used,prompt,gold_query,submitted_query,error,duration_seconds
36,evals_hard,False,SQL_ERROR,world,Find the top 50 countries by population density. Show names and densities.,"SELECT c.Name, CAST(c.Population AS REAL) / c.SurfaceArea as population_density FROM world.Country c WHERE c.Population > 0 AND c.SurfaceArea > 0 ORDER BY population_density DESC LIMIT 50","SELECT name AS country, (population / area) AS density FROM world.countries ORDER BY density DESC LIMIT 50","Submitted query execution failed: DuckDB error: Catalog Error: Table with name countries does not exist!
Did you mean ""Country""?

LINE 1: ...ELECT name AS country, (population / area) AS density FROM world.countries ORDER BY density DESC LIMIT 50
                                                                      ^",16.51372416689992
37,evals_hard,False,MISMATCH,employee,Compare average salaries by gender for current employees.,"SELECT e.gender, AVG(s.salary) as avg_salary FROM employee.employees e JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE s.to_date = '9999-01-01' GROUP BY e.gender HAVING COUNT(*) >= 10","WITH latest_dept AS (
 SELECT d.emp_no, d.dept_no
 FROM employee.dept_emp d
 JOIN (
   SELECT emp_no, MAX(to_date) AS max_to
   FROM employee.dept_emp
   GROUP BY emp_no
 ) m ON d.emp_no = m.emp_no AND d.to_date = m.max_to
),
latest_title AS (
 SELECT t.emp_no, t.title
 FROM employee.titles t
 JOIN (
   SELECT emp_no, MAX(to_date) AS max_to
   FROM employee.titles
   GROUP BY emp_no
 ) m ON t.emp_no = m.emp_no AND t.to_date = m.max_to
),
current_salaries AS (
 SELECT s.emp_no, s.salary
 FROM employee.salaries s
 WHERE s.to_date = DATE '9999-01-01'
),
emp_data AS (
 SELECT e.emp_no, e.gender, e.hire_date,
        d.dept_no, t.title, s.salary,
        DATE_DIFF('year', e.hire_date, CURRENT_DATE) AS tenure_years
 FROM employee.employees e
 JOIN current_salaries s USING (emp_no)
 LEFT JOIN latest_dept d USING (emp_no)
 LEFT JOIN latest_title t USING (emp_no)
),
grouped AS (
 SELECT gender, dept_no, title, tenure_years,
        AVG(salary) AS avg_sal,
        COUNT(*) AS cnt
 FROM emp_data
 GROUP BY gender, dept_no, title, tenure_years
),
final AS (
 SELECT gender,
        AVG(avg_sal) AS avg_salary,
        SUM(cnt) AS employee_count
 FROM grouped
 GROUP BY gender
 HAVING SUM(cnt) >= 10
)
SELECT gender,
       avg_salary,
       employee_count,
       avg_salary - AVG(avg_salary) OVER () AS Difference
FROM final
ORDER BY gender;",Results do not match,21.05173054151237
38,evals_hard,False,MISMATCH,CraftBeer,"Find beers with 'extreme' bitterness. Return the beer name, IBU, style, and brewery name.","SELECT b.name as beer_name, b.ibu, b.style, br.name as brewery_name FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.ibu > 100","SELECT b.name AS beer_name,
       b.ibu,
       b.style,
       br.name AS brewery_name
FROM CraftBeer.beers b
JOIN CraftBeer.breweries br ON b.brewery_id = br.id
WHERE b.ibu >= 80
ORDER BY b.ibu DESC",Results do not match,23.660574999637902
39,evals_hard,False,MISMATCH,Airline,Find all origin/destination airport pairs that are thin routes. How many such pairs are there?,"SELECT COUNT(*) AS thin_route_count FROM (SELECT Origin, Dest FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL GROUP BY Origin, Dest HAVING COUNT(*) < 50) thin_routes","SELECT COUNT(*) AS thin_route_pairs FROM (
  SELECT Origin, Dest
  FROM Airline.On_Time_On_Time_Performance_2016_1
  WHERE Cancelled = 0
    AND Diverted = 0
    AND DepTime IS NOT NULL
    AND ArrTime IS NOT NULL
  GROUP BY Origin, Dest
  HAVING COUNT(*) < 50
) AS t",Results do not match,11.16516974940896
40,evals_hard,True,NONE,CraftBeer,Count the number of beers missing IBU data that should be flagged for data quality analysis.,SELECT COUNT(*) as missing_ibu_count FROM CraftBeer.beers b WHERE b.ibu IS NULL,SELECT COUNT(*) AS missing_ibu_beer_count FROM CraftBeer.beers WHERE ibu IS NULL,,7.748566792346537
41,evals_hard,True,NONE,ErgastF1,Find the top 3 F1 rookie drivers ordered by their start count (highest first) then surname (descending).,"SELECT d.forename, d.surname, COUNT(*) as career_starts FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId GROUP BY d.driverId, d.forename, d.surname HAVING COUNT(*) < 20 ORDER BY career_starts DESC, d.surname DESC LIMIT 3","SELECT d.driverId,
       d.forename,
       d.surname,
       cnt.start_count
FROM (
    SELECT driverId,
           COUNT(*) AS start_count
    FROM ErgastF1.results
    WHERE driverId IS NOT NULL
    GROUP BY driverId
) cnt
JOIN ErgastF1.drivers d ON d.driverId = cnt.driverId
WHERE cnt.start_count < 20
ORDER BY cnt.start_count DESC,
         d.surname DESC
LIMIT 3;",,15.021100125275552
42,evals_hard,False,MISMATCH,Credit,Find the top 50 statements by net amount.,"SELECT c.statement_no, SUM(CASE WHEN c.charge_code != 'RF' THEN c.charge_amt ELSE 0 END) as gross_charges, SUM(CASE WHEN c.charge_code = 'RF' THEN c.charge_amt ELSE 0 END) as refunds, SUM(CASE WHEN c.charge_code != 'RF' THEN c.charge_amt ELSE 0 END) - SUM(CASE WHEN c.charge_code = 'RF' THEN c.charge_amt ELSE 0 END) as net_amount FROM Credit.charge c WHERE c.charge_amt != 0.01 GROUP BY c.statement_no ORDER BY net_amount DESC LIMIT 50","SELECT s.statement_no, s.member_no, s.statement_dt, s.due_dt,
       SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) AS net_amount
FROM Credit.statement s
LEFT JOIN Credit.charge c ON c.statement_no = s.statement_no
GROUP BY s.statement_no, s.member_no, s.statement_dt, s.due_dt
ORDER BY net_amount DESC
LIMIT 50",Results do not match,28.75352658238262
43,evals_hard,False,SQL_ERROR,imdb_MovieLens,"Identify 'super users' by id in the movie ratings data, showing the number of ratings they've given.","SELECT u.userid, COUNT(*) as ratings_given FROM imdb_MovieLens.u2base u GROUP BY u.userid HAVING COUNT(*) > 1000","SELECT userId, COUNT(*) AS rating_count
FROM movie_ratings.ratings
WHERE rating IS NOT NULL
  AND rating BETWEEN 0.5 AND 5.0
  AND timestamp >= 946684800
GROUP BY userId
HAVING COUNT(*) >= 1000
ORDER BY rating_count DESC, userId ASC","Submitted query execution failed: DuckDB error: Catalog Error: Table with name ratings does not exist!
Did you mean ""trains.trains""?

LINE 2: FROM movie_ratings.ratings
             ^",36.91463004145771
44,evals_hard,True,NONE,world,Find country names where the sum of language percentages exceeds 100% due to multilingualism.,SELECT co.Name FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode GROUP BY co.Name HAVING SUM(cl.Percentage) > 100,"SELECT c.Name, SUM(cl.Percentage) AS total_pct FROM world.Country c JOIN world.CountryLanguage cl ON c.Code = cl.CountryCode GROUP BY c.Name HAVING SUM(cl.Percentage) > 100",,12.905948250554502
45,evals_hard,True,NONE,Credit,Find providers with fewer than 100 total charges that should be aggregated as 'Long tail providers'. I want to see the provider number and the charge count.,"SELECT p.provider_no, COUNT(*) as charge_count FROM Credit.charge c JOIN Credit.provider p ON c.provider_no = p.provider_no WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY p.provider_no HAVING COUNT(*) < 100","SELECT provider_no, COUNT(*) AS charge_count
FROM Credit.charge
WHERE (charge_code IS NULL OR charge_code <> 'RF')
GROUP BY provider_no
HAVING COUNT(*) < 100
ORDER BY provider_no",,27.176929457113147
46,evals_hard,False,MISMATCH,financial,What is the total amount of performing loans by district name?,"SELECT d.A2 as district_name, SUM(l.amount) as total_loan_amount FROM financial.district d JOIN financial.account a ON d.district_id = a.district_id JOIN financial.loan l ON a.account_id = l.account_id WHERE l.status = 'A' AND d.district_id != 1 GROUP BY d.A2","SELECT d.""A3"" AS district_name,
       SUM(l.amount) AS total_performing_loan_amount
FROM financial.loan l
JOIN financial.account a ON l.account_id = a.account_id
JOIN financial.district d ON a.district_id = d.district_id
WHERE l.status = 'A'
GROUP BY d.""A3""
ORDER BY d.""A3""",Results do not match,47.20849074982107
47,evals_hard,False,AGENT_ERROR,ErgastF1,"Find the top 30 F1 drivers (first name and last name) by race completion rate, only including drivers with at least 50 race starts. Include total races, completed races, and completion rate.","SELECT d.forename, d.surname, COUNT(*) as total_races, SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END) as completed_races, CAST(SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END) AS REAL) / COUNT(*) as completion_rate FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId GROUP BY d.driverId, d.forename, d.surname HAVING COUNT(*) >= 50 ORDER BY completion_rate DESC LIMIT 30",,Agent error: Max iterations reached,42.57868541684002
48,evals_hard,True,NONE,world,Find countries (names and codes) with multiple official languages. Show the language count.,"SELECT co.Code, co.Name, COUNT(cl.Language) as language_count FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode WHERE cl.IsOfficial = 'T' GROUP BY co.Code, co.Name HAVING COUNT(cl.Language) > 1","SELECT c.Name, c.Code, COUNT(cl.Language) AS language_count
FROM world.Country c
JOIN world.CountryLanguage cl ON c.Code = cl.CountryCode
WHERE cl.IsOfficial = 'T'
GROUP BY c.Name, c.Code
HAVING COUNT(cl.Language) > 1
ORDER BY language_count DESC;",,9.832355374470353
49,evals_hard,True,NONE,Credit,"Find the top 25 members (member_no, first name, last name, and net_charge_volume) by net charge volume, where refunds (charge_code 'RF') are subtracted from gross charges.","SELECT m.member_no, m.firstname, m.lastname, SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) as net_charge_volume FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_amt != 0.01 GROUP BY m.member_no, m.firstname, m.lastname ORDER BY net_charge_volume DESC LIMIT 25","SELECT c.member_no,
       m.firstname,
       m.lastname,
       SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) AS net_charge_volume
FROM Credit.charge AS c
JOIN Credit.member AS m ON c.member_no = m.member_no
GROUP BY c.member_no, m.firstname, m.lastname
ORDER BY net_charge_volume DESC
LIMIT 25",,10.673109416849911
50,evals_hard,True,NONE,world,"List the top 50 capital cities by population, along with their countries.","SELECT co.Name as country, ci.Name as capital_city, ci.Population FROM world.Country co JOIN world.City ci ON co.Capital = ci.ID WHERE ci.Population IS NOT NULL ORDER BY ci.Population DESC LIMIT 50","SELECT c.Name AS CapitalCity, co.Name AS Country, c.Population
FROM world.City c
JOIN world.Country co ON co.Capital = c.ID
WHERE co.Capital IS NOT NULL
ORDER BY c.Population DESC
LIMIT 50",,9.756563624367118
51,evals_hard,False,NO_SUBMISSION,CraftBeer,Identify the top 30 microbreweries with the smallest beer catalogs.,"SELECT br.id, br.name, COUNT(b.id) as beer_count FROM CraftBeer.breweries br JOIN CraftBeer.beers b ON br.id = b.brewery_id GROUP BY br.id, br.name HAVING COUNT(b.id) < 3 ORDER BY beer_count ASC, br.name LIMIT 30",,No answer submitted (agent did not call submit_answer),20.672774832695723
52,evals_hard,True,NONE,Airline,"What is the count of diverted flights by route (origin-destination pair), including only routes with more than 5 diversions?","SELECT Origin, Dest, COUNT(*) as diverted_count FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE Diverted = 1 GROUP BY Origin, Dest HAVING COUNT(*) > 5","SELECT Origin, Dest, COUNT(*) AS diverted_count
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE Diverted = 1
GROUP BY Origin, Dest
HAVING COUNT(*) > 5
ORDER BY diverted_count DESC",,5.848216833546758
53,evals_hard,False,SQL_ERROR,Accidents,"Count accidents by administrative unit, only for units with more than 100 accidents for statistical significance.","SELECT n.upravna_enota, COUNT(*) as accident_count FROM Accidents.nesreca n GROUP BY n.upravna_enota HAVING COUNT(*) > 100","SELECT upravna_enota, COUNT(*) AS accident_count FROM ""Accidents"".""accident_events"" WHERE investigation_complete = true AND injury_count > 0 GROUP BY upravna_enota HAVING COUNT(*) > 100","Submitted query execution failed: DuckDB error: Catalog Error: Table with name accident_events does not exist!
Did you mean ""upravna_enota""?

LINE 1: SELECT upravna_enota, COUNT(*) AS accident_count FROM ""Accidents"".""accident_events"" WHERE investigation_complete...
                                                              ^",26.18180908355862
54,evals_hard,True,NONE,financial,"Find district names (A2) with fewer than 50 accounts that should be aggregated as 'Other' for reporting, as well as their account counts.","SELECT d.A2 as district_name, COUNT(a.account_id) as account_count FROM financial.district d LEFT JOIN financial.account a ON d.district_id = a.district_id GROUP BY d.district_id, d.A2 HAVING COUNT(a.account_id) < 50","SELECT d.A2 AS district_name,
       COUNT(a.account_id) AS account_count,
       'Other' AS category
FROM financial.account a
JOIN financial.district d ON a.district_id = d.district_id
GROUP BY d.A2, d.district_id
HAVING COUNT(a.account_id) < 50
ORDER BY account_count DESC;",,21.10837195813656
55,evals_hard,False,NO_SUBMISSION,CraftBeer,"For beers missing IBU data, impute a value of 20 (typical for lagers/wheat beers) and calculate average IBU by style.","SELECT b.style, AVG(COALESCE(b.ibu, 20)) as avg_ibu_imputed FROM CraftBeer.beers b GROUP BY b.style",,No answer submitted (agent did not call submit_answer),31.888219833374023
56,evals_hard,False,MISMATCH,lahman_2014,"Find the top 10 batters (name, year) by batting average (H/AB).","SELECT p.nameFirst, p.nameLast, b.yearID, CAST(b.H AS REAL) / b.AB as batting_avg FROM lahman_2014.batting b JOIN lahman_2014.players p ON b.playerID = p.playerID WHERE b.AB >= 100 ORDER BY batting_avg DESC LIMIT 10","SELECT p.nameFirst || ' ' || p.nameLast AS name,
       b.yearID AS year,
       CAST(b.H AS DOUBLE) / NULLIF(b.AB,0) AS batting_average
FROM lahman_2014.batting b
JOIN lahman_2014.players p ON b.playerID = p.playerID
WHERE b.AB >= 100
ORDER BY batting_average DESC
LIMIT 10",Results do not match,9.310103874653578
57,evals_hard,False,MISMATCH,Credit,"Group charges by spending type. Show the spending_type, charge_count, and total_amount.","SELECT CASE WHEN c.category_no BETWEEN 1 AND 10 THEN 'Essential' WHEN c.category_no BETWEEN 11 AND 20 THEN 'Discretionary' ELSE 'Other' END as spending_type, COUNT(*) as charge_count, SUM(c.charge_amt) as total_amount FROM Credit.charge c WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY CASE WHEN c.category_no BETWEEN 1 AND 10 THEN 'Essential' WHEN c.category_no BETWEEN 11 AND 20 THEN 'Discretionary' ELSE 'Other' END","WITH filtered AS (
    SELECT
        CASE
            WHEN c.category_no BETWEEN 1 AND 10 THEN 'Essential'
            WHEN c.category_no BETWEEN 11 AND 20 THEN 'Discretionary'
            ELSE 'Other'
        END AS spending_type,
        c.charge_amt,
        c.charge_code
    FROM Credit.charge AS c
    WHERE c.charge_amt <> 0.01               -- exclude test transactions
      AND c.charge_amt >= 5                 -- exclude micro‑transactions
)
SELECT
    spending_type,
    COUNT(*) FILTER (WHERE charge_code <> 'RF') AS charge_count,
    SUM(CASE WHEN charge_code = 'RF' THEN -charge_amt ELSE charge_amt END) AS total_amount
FROM filtered
GROUP BY spending_type
ORDER BY spending_type;",Results do not match,11.979614209383726
58,evals_hard,False,AGENT_ERROR,lahman_2014,"Find the top 50 players by career batting average, only including players with at least 500 career at-bats.","SELECT p.nameFirst, p.nameLast, CAST(SUM(b.H) AS REAL) / SUM(b.AB) as career_ba FROM lahman_2014.batting b JOIN lahman_2014.players p ON b.playerID = p.playerID WHERE b.AB >= 100 GROUP BY p.playerID, p.nameFirst, p.nameLast HAVING SUM(b.AB) >= 500 ORDER BY career_ba DESC LIMIT 50",,Agent error: Max iterations reached,31.849768875166774
59,evals_hard,False,AGENT_ERROR,world,"List countries by continent with their dominant languages where language percentage exceeds 90%, showing whether each language is official.","SELECT co.Continent, co.Name as country, cl.Language, cl.Percentage, cl.IsOfficial FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode WHERE cl.Percentage > 90",,Agent error: Max iterations reached,25.620543249882758
60,evals_hard,True,NONE,ErgastF1,"Compare Mercedes teammate performance in the 2015 F1 season, showing race-by-race position comparisons where both drivers finished. Return raceId, year, constructor name, driver1 surname, driver2 surname, driver1_pos, and driver2_pos.","SELECT r1.raceId, ra.year, c.name as constructor, d1.surname as driver1, d2.surname as driver2, r1.position as driver1_pos, r2.position as driver2_pos FROM ErgastF1.results r1 JOIN ErgastF1.results r2 ON r1.raceId = r2.raceId AND r1.constructorId = r2.constructorId AND r1.driverId < r2.driverId JOIN ErgastF1.drivers d1 ON r1.driverId = d1.driverId JOIN ErgastF1.drivers d2 ON r2.driverId = d2.driverId JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId JOIN ErgastF1.races ra ON r1.raceId = ra.raceId WHERE r1.position IS NOT NULL AND r2.position IS NOT NULL AND r1.position > 0 AND r2.position > 0 AND ra.year = 2015 AND c.name = 'Mercedes'","SELECT r1.raceId,
       ra.year,
       c.name AS constructor_name,
       d1.surname AS driver1,
       d2.surname AS driver2,
       r1.position AS driver1_pos,
       r2.position AS driver2_pos
FROM ErgastF1.results r1
JOIN ErgastF1.results r2 ON r1.raceId = r2.raceId
JOIN ErgastF1.drivers d1 ON r1.driverId = d1.driverId
JOIN ErgastF1.drivers d2 ON r2.driverId = d2.driverId
JOIN ErgastF1.races ra ON r1.raceId = ra.raceId
JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId
WHERE ra.year = 2015
  AND c.name = 'Mercedes'
  AND d1.surname = 'Hamilton'
  AND d2.surname = 'Rosberg'
  AND r1.position IS NOT NULL
  AND r2.position IS NOT NULL
ORDER BY r1.raceId;",,26.59514124970883
61,evals_hard,False,MISMATCH,financial,"Calculate transaction statistics (total deposits, total deposit amount, and average deposit amount).","SELECT COUNT(*) as total_deposits, SUM(amount) as total_deposit_amount, AVG(amount) as avg_deposit_amount FROM financial.trans WHERE type = 'PRIJEM' AND amount >= 1000 AND k_symbol IS NOT NULL AND k_symbol != 'UROK' AND date >= '1995-01-01'","SELECT COUNT(*) AS total_deposits,
       SUM(amount) AS total_deposit_amount,
       AVG(amount) FILTER (WHERE amount >= 1000) AS average_deposit_amount
FROM financial.trans
WHERE type = 'PRIJEM';",Results do not match,11.567369250580668
62,evals_hard,True,NONE,ErgastF1,Find the top 30 F1 drivers by podium finishes.,"SELECT d.forename, d.surname, COUNT(*) as podium_finishes FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId WHERE r.position IS NOT NULL AND r.position > 0 AND r.position <= 3 GROUP BY d.driverId, d.forename, d.surname ORDER BY podium_finishes DESC LIMIT 30","SELECT d.driverId, d.forename, d.surname, COUNT(*) AS podiums
FROM ErgastF1.results r
JOIN ErgastF1.drivers d ON r.driverId = d.driverId
WHERE r.position IS NOT NULL AND r.position <= 3
GROUP BY d.driverId, d.forename, d.surname
ORDER BY podiums DESC, d.surname, d.forename
LIMIT 30",,24.92752154171467
63,evals_hard,False,MISMATCH,Chess,"For each ECO code, show the game count, white wins, black wins, and draws. Only include ECO codes with at least 5 games.","SELECT g.ECO, COUNT(*) as game_count, SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) as white_wins, SUM(CASE WHEN g.game_result = '0-1' THEN 1 ELSE 0 END) as black_wins, SUM(CASE WHEN g.game_result = '1/2-1/2' THEN 1 ELSE 0 END) as draws FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' AND g.ECO IS NOT NULL GROUP BY g.ECO HAVING COUNT(*) >= 5","SELECT ECO,
       COUNT(*) AS game_count,
       SUM(CASE WHEN game_result = '1-0' THEN 1 ELSE 0 END) AS white_wins,
       SUM(CASE WHEN game_result = '0-1' THEN 1 ELSE 0 END) AS black_wins,
       SUM(CASE WHEN game_result = '1/2-1/2' THEN 1 ELSE 0 END) AS draws
FROM Chess.game
WHERE ECO IS NOT NULL
GROUP BY ECO
HAVING COUNT(*) >= 5
ORDER BY ECO;",Results do not match,26.351436957716942
