case_idx,split,passed,failure_type,gold_schema,gold_tables,schema_correct,tables_correct,guides_read,tool_sequence,prompt,gold_query,submitted_query,error,duration_seconds
31,evals_hard,True,NONE,employee,employee.employees|employee.salaries,True,True,,find_schema → run_sql → submit,Compare average salaries by gender for current employees.,"SELECT e.gender, AVG(s.salary) as avg_salary FROM employee.employees e JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE s.to_date = '9999-01-01' GROUP BY e.gender HAVING COUNT(*) >= 10","SELECT e.gender,
       AVG(s.salary) AS avg_salary,
       COUNT(*) AS employee_count
FROM employee.employees e
JOIN employee.dept_emp de
  ON e.emp_no = de.emp_no
  AND de.to_date = '9999-01-01'
JOIN employee.salaries s
  ON e.emp_no = s.emp_no
  AND s.to_date = '9999-01-01'
GROUP BY e.gender
HAVING COUNT(*) >= 10
ORDER BY e.gender",,6.068486167117953
32,evals_hard,True,NONE,world,world.Country|world.CountryLanguage,True,True,,find_schema → run_sql → submit,Find countries (names and codes) with multiple official languages. Show the language count.,"SELECT co.Code, co.Name, COUNT(cl.Language) as language_count FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode WHERE cl.IsOfficial = 'T' GROUP BY co.Code, co.Name HAVING COUNT(cl.Language) > 1","SELECT c.Name, c.Code, COUNT(DISTINCT cl.Language) AS language_count
FROM world.Country c
JOIN world.CountryLanguage cl ON c.Code = cl.CountryCode
WHERE cl.IsOfficial = 'T'
GROUP BY c.Name, c.Code
HAVING COUNT(DISTINCT cl.Language) > 1
ORDER BY language_count DESC",,4.640256834216416
33,evals_hard,True,NONE,Hockey,Hockey.Master|Hockey.Scoring,True,True,,find_schema → run_sql → submit,"Find the top 50 NHL players by career points, only including players with at least 5 seasons.","SELECT s.playerID, m.firstName, m.lastName, SUM(s.Pts) as career_points, COUNT(DISTINCT s.year) as seasons FROM Hockey.Scoring s JOIN Hockey.Master m ON s.playerID = m.playerID WHERE s.lgID = 'NHL' GROUP BY s.playerID, m.firstName, m.lastName HAVING COUNT(DISTINCT s.year) >= 5 ORDER BY career_points DESC LIMIT 50","SELECT m.playerID, m.firstName, m.lastName, SUM(s.Pts) AS career_points, COUNT(DISTINCT s.year) AS seasons
FROM Hockey.Master m
JOIN Hockey.Scoring s ON m.playerID = s.playerID
WHERE s.lgID = 'NHL'
GROUP BY m.playerID, m.firstName, m.lastName
HAVING COUNT(DISTINCT s.year) >= 5
ORDER BY career_points DESC
LIMIT 50",,6.035426541231573
34,evals_hard,True,NONE,world,world.Country|world.CountryLanguage,True,True,,find_schema → run_sql → run_sql → submit,"List countries by continent with their dominant languages where language percentage exceeds 90%, showing whether each language is official.","SELECT co.Continent, co.Name as country, cl.Language, cl.Percentage, cl.IsOfficial FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode WHERE cl.Percentage > 90","SELECT c.Continent,
       c.Name AS Country,
       cl.Language,
       cl.Percentage,
       cl.IsOfficial
FROM world.Country c
JOIN world.CountryLanguage cl ON c.Code = cl.CountryCode
WHERE cl.Percentage > 90
ORDER BY c.Continent, c.Name",,5.756091250106692
35,evals_hard,False,MISMATCH,financial,financial.account|financial.district|financial.loan,True,True,,find_schema → list_tables(financial) → run_sql → submit,"Show the region, loan count, total loan amount, and average loan amount for each loan classification. Label Prague as 'Prague' and other districts as 'Other Districts'.","SELECT CASE WHEN d.district_id = 1 THEN 'Prague' ELSE 'Other Districts' END as region, COUNT(l.loan_id) as loan_count, SUM(l.amount) as total_loan_amount, AVG(l.amount) as avg_loan_amount FROM financial.district d JOIN financial.account a ON d.district_id = a.district_id JOIN financial.loan l ON a.account_id = l.account_id GROUP BY CASE WHEN d.district_id = 1 THEN 'Prague' ELSE 'Other Districts' END","SELECT CASE WHEN d.district_id = 1 THEN 'Prague' ELSE 'Other Districts' END AS region,
       CASE WHEN l.status = 'A' THEN 'Performing'
            WHEN l.status = 'B' THEN 'Watch List'
            WHEN l.status IN ('C','D') THEN 'Non-Performing'
       END AS loan_classification,
       COUNT(*) AS loan_count,
       SUM(l.amount) AS total_loan_amount,
       AVG(l.amount) AS average_loan_amount
FROM financial.account a
JOIN financial.loan l ON a.account_id = l.account_id
JOIN financial.district d ON a.district_id = d.district_id
GROUP BY region, loan_classification
ORDER BY region, loan_classification;",Results do not match,8.748801290988922
36,evals_hard,True,NONE,financial,financial.trans,True,True,,find_schema → describe(financial.trans) → run_sql → run_sql → run_sql → list_tables(financial) → describe(financial.account) → run_sql → find_schema → run_sql → submit,"Calculate transaction statistics (total deposits, total deposit amount, and average deposit amount).","SELECT COUNT(*) as total_deposits, SUM(amount) as total_deposit_amount, AVG(amount) as avg_deposit_amount FROM financial.trans WHERE type = 'PRIJEM' AND amount >= 1000 AND k_symbol IS NOT NULL AND k_symbol != 'UROK' AND date >= '1995-01-01'","SELECT COUNT(*) AS total_deposits,
       SUM(amount) AS total_deposit_amount,
       AVG(CASE WHEN amount >= 1000 THEN amount END) AS average_deposit_amount
FROM financial.trans
WHERE type = 'PRIJEM'
  AND date >= DATE '1995-01-01'
  AND k_symbol IS NOT NULL
  AND k_symbol <> 'UROK';",,16.554986083880067
37,evals_hard,True,NONE,lahman_2014,lahman_2014.batting|lahman_2014.halloffame|lahman_2014.players,True,True,,find_schema → run_sql → run_sql → submit,Find the names and years of the top 50 Hall of Fame players by career hits.,"SELECT p.nameFirst, p.nameLast, h.yearID as inducted_year, sum(b.H) as career_hits FROM lahman_2014.halloffame h JOIN lahman_2014.players p ON h.hofID = p.hofID JOIN lahman_2014.batting b ON p.playerID = b.playerID WHERE h.inducted = 'Y' AND h.category = 'Player' GROUP BY p.playerID, p.nameFirst, p.nameLast, h.yearID HAVING SUM(b.AB) >= 100 ORDER BY career_hits DESC LIMIT 50","SELECT p.nameFirst, p.nameLast, h.yearID AS induction_year, SUM(b.H) AS career_hits
FROM lahman_2014.players p
JOIN lahman_2014.halloffame h ON p.hofID = h.hofID
JOIN lahman_2014.batting b ON p.playerID = b.playerID
WHERE h.inducted = 'Y' AND h.category = 'Player'
GROUP BY p.playerID, p.nameFirst, p.nameLast, h.yearID
ORDER BY career_hits DESC
LIMIT 50",,6.301882665604353
38,evals_hard,True,NONE,ErgastF1,ErgastF1.drivers|ErgastF1.results,True,True,,find_schema → run_sql → run_sql → run_sql → list_tables(ErgastF1) → describe(ErgastF1.drivers) → run_sql → run_sql → submit,Find the top 3 F1 rookie drivers ordered by their start count (highest first) then surname (descending).,"SELECT d.forename, d.surname, COUNT(*) as career_starts FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId GROUP BY d.driverId, d.forename, d.surname HAVING COUNT(*) < 20 ORDER BY career_starts DESC, d.surname DESC LIMIT 3","SELECT d.driverId,
       d.forename,
       d.surname,
       COUNT(DISTINCT r.raceId) AS start_count
FROM ErgastF1.results r
JOIN ErgastF1.drivers d ON r.driverId = d.driverId
GROUP BY d.driverId, d.forename, d.surname
HAVING COUNT(DISTINCT r.raceId) < 20
ORDER BY start_count DESC, d.surname DESC
LIMIT 3",,16.46943687554449
39,evals_hard,False,MISMATCH,Credit,Credit.charge,True,False,,find_schema → list_tables(financial) → describe(financial.trans) → find_schema → describe(financial.disp) → describe(financial.order) → describe(financial.account) → list_tables(financial) → find_schema → run_sql → list_tables(Credit) → describe(Credit.statement) → run_sql → describe(Credit.payment) → run_sql → submit,Find the top 50 statements by net amount.,"SELECT c.statement_no, SUM(CASE WHEN c.charge_code != 'RF' THEN c.charge_amt ELSE 0 END) as gross_charges, SUM(CASE WHEN c.charge_code = 'RF' THEN c.charge_amt ELSE 0 END) as refunds, SUM(CASE WHEN c.charge_code != 'RF' THEN c.charge_amt ELSE 0 END) - SUM(CASE WHEN c.charge_code = 'RF' THEN c.charge_amt ELSE 0 END) as net_amount FROM Credit.charge c WHERE c.charge_amt != 0.01 GROUP BY c.statement_no ORDER BY net_amount DESC LIMIT 50","SELECT s.statement_no,
       s.member_no,
       s.statement_dt,
       s.due_dt,
       s.statement_amt,
       COALESCE(p.total_payment, 0) AS total_payment,
       s.statement_amt - COALESCE(p.total_payment, 0) AS net_amount
FROM Credit.statement AS s
LEFT JOIN (
    SELECT statement_no,
           SUM(payment_amt) AS total_payment
    FROM Credit.payment
    GROUP BY statement_no
) AS p ON s.statement_no = p.statement_no
ORDER BY net_amount DESC
LIMIT 50;",Results do not match,16.95676179137081
40,evals_hard,True,NONE,Chess,Chess.game|Chess.opening,True,True,,find_schema → run_sql → run_sql → submit,"For each ECO code, show the game count, white wins, black wins, and draws. Only include ECO codes with at least 5 games.","SELECT g.ECO, COUNT(*) as game_count, SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) as white_wins, SUM(CASE WHEN g.game_result = '0-1' THEN 1 ELSE 0 END) as black_wins, SUM(CASE WHEN g.game_result = '1/2-1/2' THEN 1 ELSE 0 END) as draws FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' AND g.ECO IS NOT NULL GROUP BY g.ECO HAVING COUNT(*) >= 5","SELECT g.ECO,
       COUNT(*) AS game_count,
       SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) AS white_wins,
       SUM(CASE WHEN g.game_result = '0-1' THEN 1 ELSE 0 END) AS black_wins,
       SUM(CASE WHEN g.game_result = '1/2-1/2' THEN 1 ELSE 0 END) AS draws
FROM Chess.game g
JOIN Chess.opening o ON g.opening_id = o.opening_id
WHERE NOT (o.name LIKE '%French%' OR g.opening LIKE '%French%')
  AND NOT (o.name LIKE '%Sicilian%' OR g.opening LIKE '%Sicilian%')
GROUP BY g.ECO
HAVING COUNT(*) >= 5
ORDER BY g.ECO",,6.589917290955782
41,evals_hard,False,MISMATCH,Credit,Credit.charge|Credit.member,True,True,,find_schema → list_tables(Credit) → describe(Credit.member) → run_sql → find_schema → run_sql → submit,"Identify the top 30 members (first, last) by cumulative lifetime charges.","SELECT m.firstname, m.lastname, SUM(c.charge_amt) as lifetime_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_code != 'RF' AND c.charge_amt != 0.01 GROUP BY m.member_no, m.firstname, m.lastname ORDER BY lifetime_charges DESC LIMIT 30","SELECT m.firstname, m.lastname, SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) AS lifetime_charge
FROM Credit.member m
JOIN Credit.charge c ON m.member_no = c.member_no
WHERE c.charge_amt >= 5.0 AND c.charge_amt != 0.01
GROUP BY m.member_no, m.firstname, m.lastname
ORDER BY lifetime_charge DESC
LIMIT 30",Results do not match,13.021229499951005
42,evals_hard,False,MISMATCH,lahman_2014,lahman_2014.pitching|lahman_2014.players,True,True,,find_schema → run_sql → run_sql → submit,"Find the top 50 non-reliever pitchers by ERA (Earned Run Average). Show the player's first and last name, the year, the innings pitched, and the ERA.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.IPouts / 3 as innings_pitched, (pi.ER * 9.0) / (pi.IPouts / 3.0) as ERA FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.IPouts >= 150 ORDER BY ERA ASC LIMIT 50","SELECT p.nameFirst,
       p.nameLast,
       pi.yearID AS year,
       SUM(pi.IPouts) / 3.0 AS innings_pitched,
       (SUM(pi.ER) * 9.0) / (SUM(pi.IPouts) / 3.0) AS ERA
FROM lahman_2014.players p
JOIN lahman_2014.pitching pi ON p.playerID = pi.playerID
GROUP BY p.nameFirst, p.nameLast, pi.yearID
HAVING SUM(pi.IPouts) >= 150
ORDER BY ERA ASC
LIMIT 50",Results do not match,8.044526250101626
43,evals_hard,True,NONE,lahman_2014,lahman_2014.halloffame|lahman_2014.players,True,True,,find_schema → describe(lahman_2014.halloffame) → run_sql → submit,"Find the top 50 Hall of Fame voting results by BBWAA with at least 75% support, showing vote percentages. Give the player's first and last name, the year, the vote percentage.","SELECT p.nameFirst, p.nameLast, h.yearID, CAST(h.votes AS REAL) / h.ballots * 100 as vote_percentage FROM lahman_2014.halloffame h JOIN lahman_2014.players p ON h.hofID = p.hofID WHERE h.votedBy = 'BBWAA' AND h.ballots > 0 AND CAST(h.votes AS REAL) / h.ballots >= 0.75 ORDER BY vote_percentage DESC LIMIT 50","SELECT p.nameFirst, p.nameLast, h.yearID,
       (h.votes::DOUBLE / h.ballots) * 100 AS vote_percentage
FROM lahman_2014.players p
JOIN lahman_2014.halloffame h ON p.hofID = h.hofID
WHERE h.votedBy = 'BBWAA'
  AND h.inducted = 'Y'
  AND h.category = 'Player'
  AND h.ballots > 0
  AND (h.votes::DOUBLE / h.ballots) >= 0.75
ORDER BY vote_percentage DESC
LIMIT 50;",,6.6974879167973995
44,evals_hard,False,MISMATCH,Hockey,Hockey.Master|Hockey.Scoring,True,True,,find_schema → run_sql → run_sql → submit,"Find the top 50 NHL players by average goals per season, only including players with at least 5 seasons.","SELECT m.firstName, m.lastName, CAST(SUM(s.G) AS REAL) / COUNT(DISTINCT s.year) as avg_goals_per_season, COUNT(DISTINCT s.year) as seasons FROM Hockey.Scoring s JOIN Hockey.Master m ON s.playerID = m.playerID WHERE s.lgID = 'NHL' GROUP BY s.playerID, m.firstName, m.lastName HAVING COUNT(DISTINCT s.year) >= 5 ORDER BY avg_goals_per_season DESC LIMIT 50","SELECT m.playerID, m.firstName, m.lastName,
       COUNT(DISTINCT s.year) AS seasons,
       SUM(s.G) AS total_goals,
       SUM(s.G)::DOUBLE / COUNT(DISTINCT s.year) AS avg_goals_per_season
FROM Hockey.Master m
JOIN Hockey.Scoring s ON m.playerID = s.playerID
WHERE s.lgID = 'NHL' AND (s.PostGP IS NULL OR s.PostGP = 'NaN')
GROUP BY m.playerID, m.firstName, m.lastName
HAVING COUNT(DISTINCT s.year) >= 5
ORDER BY avg_goals_per_season DESC
LIMIT 50",Results do not match,6.578748541884124
45,evals_hard,True,NONE,Airline,Airline.On_Time_On_Time_Performance_2016_1,True,True,,find_schema → run_sql → submit,"Analyze completed flights by day of week for January 2016. Give total flights, on-time flights, and average delay in minutes by day of week.","SELECT DayOfWeek, COUNT(*) as total_flights, SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) as on_time_flights, AVG(ArrDelayMinutes) as avg_delay FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND Month = 1 GROUP BY DayOfWeek","SELECT f.DayOfWeek,
       w.Description AS Weekday,
       COUNT(*) AS total_flights,
       SUM(CASE WHEN f.ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) AS on_time_flights,
       AVG(f.ArrDelayMinutes) AS avg_delay_minutes
FROM Airline.On_Time_On_Time_Performance_2016_1 f
LEFT JOIN Airline.L_WEEKDAYS w ON f.DayOfWeek = w.Code
WHERE f.Month = 1
  AND f.DepTime IS NOT NULL
  AND f.ArrTime IS NOT NULL
GROUP BY f.DayOfWeek, w.Description
ORDER BY f.DayOfWeek;",,5.183719417080283
46,evals_hard,True,NONE,world,world.Country,True,True,,find_schema → describe(world.Country) → run_sql → run_sql → submit,Find the top 50 countries by population density. Show names and densities.,"SELECT c.Name, CAST(c.Population AS REAL) / c.SurfaceArea as population_density FROM world.Country c WHERE c.Population > 0 AND c.SurfaceArea > 0 ORDER BY population_density DESC LIMIT 50","SELECT c.Name, c.Population / c.SurfaceArea AS density
FROM world.Country c
WHERE c.SurfaceArea IS NOT NULL AND c.SurfaceArea > 0
ORDER BY density DESC
LIMIT 50",,6.397495166398585
47,evals_hard,False,MISMATCH,lahman_2014,lahman_2014.pitching|lahman_2014.players,True,True,,find_schema → run_sql → run_sql → submit,"Find the top 8 pitchers by WHIP. Show the player's first and last name, the year, the innings pitched, and the WHIP.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.IPouts / 3 as innings_pitched, (pi.BB + pi.H) / (pi.IPouts / 3.0) as WHIP FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.IPouts >= 150 ORDER BY WHIP ASC LIMIT 8","SELECT p.nameFirst, p.nameLast, pi.yearID AS year,
       SUM(pi.IPouts) / 3.0 AS innings_pitched,
       (SUM(pi.BB) + SUM(pi.H)) / (SUM(pi.IPouts) / 3.0) AS WHIP
FROM lahman_2014.players p
JOIN lahman_2014.pitching pi ON p.playerID = pi.playerID
WHERE pi.IPouts >= 150  -- consider only pitchers with at least 50 innings (starters)
GROUP BY p.nameFirst, p.nameLast, pi.yearID
ORDER BY WHIP ASC
LIMIT 8",Results do not match,10.512864916585386
48,evals_hard,True,NONE,CraftBeer,CraftBeer.beers|CraftBeer.breweries,True,True,,find_schema → list_tables(CraftBeer) → describe(CraftBeer.beers) → describe(CraftBeer.breweries) → run_sql → run_sql → run_sql → run_sql → run_sql → run_sql → run_sql → submit,"Find the top 50 session beers by ABV. Note: ABV is stored as a decimal (e.g., 0.05 for 5%). I'd like to see their name, abv, style, and brewery name.","SELECT b.name as beer_name, b.abv, b.style, br.name as brewery FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv < 0.05 AND b.abv IS NOT NULL ORDER BY b.abv DESC LIMIT 50","SELECT b.name, b.abv, b.style, br.name AS brewery_name
FROM CraftBeer.beers b
LEFT JOIN CraftBeer.breweries br ON b.brewery_id = br.id
WHERE b.abv <= 0.05
ORDER BY b.abv DESC
LIMIT 50",,12.490011957474053
49,evals_hard,True,NONE,ErgastF1,ErgastF1.drivers|ErgastF1.lapTimes,True,True,,find_schema → run_sql → submit,Find the top 30 driver names by fastest lap time.,"SELECT d.forename, d.surname, MIN(lt.milliseconds) as fastest_lap_ms FROM ErgastF1.lapTimes lt JOIN ErgastF1.drivers d ON lt.driverId = d.driverId WHERE lt.milliseconds >= 60000 GROUP BY d.driverId, d.forename, d.surname ORDER BY fastest_lap_ms ASC LIMIT 30","SELECT d.forename, d.surname, MIN(lt.milliseconds) AS fastest_lap_ms
FROM ErgastF1.lapTimes lt
JOIN ErgastF1.drivers d ON lt.driverId = d.driverId
WHERE lt.milliseconds >= 60000
GROUP BY d.forename, d.surname
ORDER BY fastest_lap_ms ASC
LIMIT 30",,6.867490790784359
50,evals_hard,True,NONE,Chess,Chess.game|Chess.opening,True,True,,find_schema → run_sql → submit,"Find the top three draw results in chess games, grouped by opening id and name.","SELECT o.name as opening_name, COUNT(*) as draw_count FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE g.game_result = '1/2-1/2' AND o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY o.opening_id, o.name ORDER BY draw_count DESC LIMIT 3","SELECT o.opening_id, o.name, COUNT(*) AS draw_count
FROM Chess.game g
JOIN Chess.opening o ON g.opening_id = o.opening_id
WHERE g.game_result = '1/2-1/2'
  AND NOT (o.name LIKE '%French%' OR g.opening LIKE '%French%')
  AND NOT (o.name LIKE '%Sicilian%' OR g.opening LIKE '%Sicilian%')
GROUP BY o.opening_id, o.name
ORDER BY draw_count DESC
LIMIT 3",,5.478528625331819
51,evals_hard,True,NONE,CraftBeer,CraftBeer.beers|CraftBeer.breweries,True,True,,find_schema → list_tables(CraftBeer) → describe(CraftBeer.breweries) → run_sql → submit,Identify production breweries that should be analyzed separately.,"SELECT br.id, br.name, COUNT(b.id) as beer_count FROM CraftBeer.breweries br JOIN CraftBeer.beers b ON br.id = b.brewery_id GROUP BY br.id, br.name HAVING COUNT(b.id) > 20","SELECT br.id, br.name, br.city, br.state, COUNT(DISTINCT b.id) AS beer_count
FROM CraftBeer.breweries br
JOIN CraftBeer.beers b ON b.brewery_id = br.id
GROUP BY br.id, br.name, br.city, br.state
HAVING COUNT(DISTINCT b.id) > 20
ORDER BY beer_count DESC",,5.284424167126417
52,evals_hard,True,NONE,financial,financial.account|financial.district|financial.loan,True,False,,find_schema → describe(financial.loan) → describe(financial.account) → run_sql → submit,"Aggregate loan statistics for districts 70-77 as a single 'Eastern Region' entity, showing total loans and average loan amount for performing loans only.","SELECT 'Eastern Region' as region, COUNT(l.loan_id) as total_loans, AVG(l.amount) as avg_loan_amount FROM financial.district d JOIN financial.account a ON d.district_id = a.district_id JOIN financial.loan l ON a.account_id = l.account_id WHERE d.district_id BETWEEN 70 AND 77 AND l.status = 'A'","SELECT 'Eastern Region' AS district_label,
       COUNT(*) AS total_loans,
       AVG(l.amount) AS avg_loan_amount
FROM financial.account a
JOIN financial.loan l ON a.account_id = l.account_id
WHERE a.district_id BETWEEN 70 AND 77
  AND l.status = 'A';",,7.44126245751977
53,evals_hard,True,NONE,imdb_MovieLens,imdb_MovieLens.u2base,True,True,,find_schema → run_sql → run_sql → submit,"Identify 'super users' by id in the movie ratings data, showing the number of ratings they've given.","SELECT u.userid, COUNT(*) as ratings_given FROM imdb_MovieLens.u2base u GROUP BY u.userid HAVING COUNT(*) > 1000","SELECT u.userid, COUNT(*) AS rating_count
FROM imdb_MovieLens.u2base u
GROUP BY u.userid
HAVING COUNT(*) > 1000
ORDER BY rating_count DESC",,6.168494790792465
54,evals_hard,True,NONE,world,world.City|world.Country,True,True,,find_schema → describe(world.City) → describe(world.Country) → run_sql → submit,"List the top 50 capital cities by population, along with their countries.","SELECT co.Name as country, ci.Name as capital_city, ci.Population FROM world.Country co JOIN world.City ci ON co.Capital = ci.ID WHERE ci.Population IS NOT NULL ORDER BY ci.Population DESC LIMIT 50","SELECT cy.Name AS capital_city, c.Name AS country, cy.Population FROM world.Country c LEFT JOIN world.City cy ON c.Capital = cy.ID WHERE cy.Population IS NOT NULL ORDER BY cy.Population DESC LIMIT 50",,5.721308000385761
55,evals_hard,True,NONE,ErgastF1,ErgastF1.constructors|ErgastF1.drivers|ErgastF1.races|ErgastF1.results,True,True,,find_schema → describe(ErgastF1.constructors) → run_sql → run_sql → describe(ErgastF1.results) → describe(ErgastF1.drivers) → describe(ErgastF1.races) → run_sql → describe(ErgastF1.results) → describe(ErgastF1.results) → run_sql → describe(ErgastF1.results) → describe(ErgastF1.results) → describe(ErgastF1.results) → describe(ErgastF1.results) → run_sql → submit,"Compare Mercedes teammate performance in the 2015 F1 season, showing race-by-race position comparisons where both drivers finished. Return raceId, year, constructor name, driver1 surname, driver2 surname, driver1_pos, and driver2_pos.","SELECT r1.raceId, ra.year, c.name as constructor, d1.surname as driver1, d2.surname as driver2, r1.position as driver1_pos, r2.position as driver2_pos FROM ErgastF1.results r1 JOIN ErgastF1.results r2 ON r1.raceId = r2.raceId AND r1.constructorId = r2.constructorId AND r1.driverId < r2.driverId JOIN ErgastF1.drivers d1 ON r1.driverId = d1.driverId JOIN ErgastF1.drivers d2 ON r2.driverId = d2.driverId JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId JOIN ErgastF1.races ra ON r1.raceId = ra.raceId WHERE r1.position IS NOT NULL AND r2.position IS NOT NULL AND r1.position > 0 AND r2.position > 0 AND ra.year = 2015 AND c.name = 'Mercedes'","SELECT r1.raceId,
       ra.year,
       c.name AS constructor_name,
       d1.surname AS driver1_surname,
       d2.surname AS driver2_surname,
       r1.position AS driver1_pos,
       r2.position AS driver2_pos
FROM ErgastF1.results r1
JOIN ErgastF1.results r2 ON r1.raceId = r2.raceId
JOIN ErgastF1.races ra ON r1.raceId = ra.raceId
JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId
JOIN ErgastF1.drivers d1 ON r1.driverId = d1.driverId
JOIN ErgastF1.drivers d2 ON r2.driverId = d2.driverId
WHERE ra.year = 2015
  AND c.name = 'Mercedes'
  AND d1.surname = 'Hamilton'
  AND d2.surname = 'Rosberg'
  AND r1.position IS NOT NULL
  AND r2.position IS NOT NULL
  AND r2.constructorId = r1.constructorId
ORDER BY ra.round",,18.977086457423866
56,evals_hard,True,NONE,Accidents,Accidents.nesreca,True,True,,find_schema → run_sql → submit,"Count accidents by administrative unit, only for units with more than 100 accidents for statistical significance.","SELECT n.upravna_enota, COUNT(*) as accident_count FROM Accidents.nesreca n GROUP BY n.upravna_enota HAVING COUNT(*) > 100","SELECT u.id_upravna_enota,
       u.ime_upravna_enota,
       COUNT(*) AS accident_count
FROM Accidents.nesreca n
JOIN Accidents.upravna_enota u ON n.upravna_enota = u.id_upravna_enota
WHERE n.klas_nesreca IS NOT NULL
  AND n.vzrok_nesreca IS NOT NULL
  AND n.tip_nesreca IS NOT NULL
GROUP BY u.id_upravna_enota, u.ime_upravna_enota
HAVING COUNT(*) > 100",,6.000065375119448
57,evals_hard,False,MISMATCH,ErgastF1,ErgastF1.constructors|ErgastF1.results,True,True,,find_schema → run_sql → submit,Find the top 30 constructors with the highest number of races where at least two cars started.,"SELECT c.name as constructor, COUNT(DISTINCT r1.raceId) as races_at_least_two_started FROM ErgastF1.results r1 JOIN ErgastF1.results r2 ON r1.raceId = r2.raceId AND r1.constructorId = r2.constructorId AND r1.resultId < r2.resultId JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId WHERE r1.grid > 0 AND r2.grid > 0 GROUP BY c.constructorId, c.name ORDER BY races_at_least_two_started DESC LIMIT 30","SELECT c.constructorId, c.constructorRef, COUNT(*) AS race_count
FROM (
  SELECT raceId, constructorId
  FROM ErgastF1.results
  GROUP BY raceId, constructorId
  HAVING COUNT(DISTINCT driverId) = 2
) rc
JOIN ErgastF1.constructors c ON rc.constructorId = c.constructorId
GROUP BY c.constructorId, c.constructorRef
ORDER BY race_count DESC
LIMIT 30",Results do not match,4.448912124149501
58,evals_hard,True,NONE,Chess,Chess.game|Chess.opening,True,True,,find_schema → run_sql → submit,What are the top three openings by games played? Count games separately for each opening_id (do not deduplicate by name).,"SELECT o.name as opening_name, COUNT(*) as game_count FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY o.opening_id, o.name ORDER BY game_count DESC LIMIT 3","SELECT g.opening_id, o.name, COUNT(*) AS games_played
FROM Chess.game g
JOIN Chess.opening o ON g.opening_id = o.opening_id
WHERE NOT (o.name LIKE '%French%' OR g.opening LIKE '%French%')
  AND NOT (o.name LIKE '%Sicilian%' OR g.opening LIKE '%Sicilian%')
GROUP BY g.opening_id, o.name
ORDER BY games_played DESC
LIMIT 3",,5.889672625809908
