case_idx,split,passed,failure_type,gold_schema,gold_tables,schema_correct,tables_correct,guides_read,tool_sequence,prompt,gold_query,submitted_query,error,duration_seconds
30,evals_hard,True,NONE,Chess,Chess.game|Chess.opening,True,True,,find_schema → run_sql → submit,"For each ECO code, show the game count, white wins, black wins, and draws. Only include ECO codes with at least 5 games.","SELECT g.ECO, COUNT(*) as game_count, SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) as white_wins, SUM(CASE WHEN g.game_result = '0-1' THEN 1 ELSE 0 END) as black_wins, SUM(CASE WHEN g.game_result = '1/2-1/2' THEN 1 ELSE 0 END) as draws FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' AND g.ECO IS NOT NULL GROUP BY g.ECO HAVING COUNT(*) >= 5","SELECT g.ECO AS eco,
       COUNT(*) AS game_count,
       SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) AS white_wins,
       SUM(CASE WHEN g.game_result = '0-1' THEN 1 ELSE 0 END) AS black_wins,
       SUM(CASE WHEN g.game_result = '1/2-1/2' THEN 1 ELSE 0 END) AS draws
FROM Chess.game g
JOIN Chess.opening o ON g.opening_id = o.opening_id
WHERE NOT (o.name LIKE '%French%' OR g.opening LIKE '%French%')
  AND NOT (o.name LIKE '%Sicilian%' OR g.opening LIKE '%Sicilian%')
GROUP BY g.ECO
HAVING COUNT(*) >= 5
ORDER BY g.ECO;",,5.388900833204389
31,evals_hard,True,NONE,Chess,Chess.game|Chess.opening,True,True,,find_schema → run_sql → submit,"Find the top three draw results in chess games, grouped by opening id and name.","SELECT o.name as opening_name, COUNT(*) as draw_count FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE g.game_result = '1/2-1/2' AND o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY o.opening_id, o.name ORDER BY draw_count DESC LIMIT 3","SELECT o.opening_id, o.name, COUNT(*) AS draw_count
FROM Chess.game g
JOIN Chess.opening o ON g.opening_id = o.opening_id
WHERE g.game_result = '1/2-1/2'
  AND NOT (o.name LIKE '%French%' OR g.opening LIKE '%French%')
  AND NOT (o.name LIKE '%Sicilian%' OR g.opening LIKE '%Sicilian%')
  AND g.whiteElo IS NOT NULL AND g.BlackElo IS NOT NULL
GROUP BY o.opening_id, o.name
ORDER BY draw_count DESC
LIMIT 3",,4.860540125519037
32,evals_hard,False,MISMATCH,lahman_2014,lahman_2014.batting|lahman_2014.players,True,True,,find_schema → run_sql → submit,"Find the top 50 players by career batting average, only including players with at least 500 career at-bats.","SELECT p.nameFirst, p.nameLast, CAST(SUM(b.H) AS REAL) / SUM(b.AB) as career_ba FROM lahman_2014.batting b JOIN lahman_2014.players p ON b.playerID = p.playerID WHERE b.AB >= 100 GROUP BY p.playerID, p.nameFirst, p.nameLast HAVING SUM(b.AB) >= 500 ORDER BY career_ba DESC LIMIT 50","SELECT p.playerID, p.nameFirst, p.nameLast,
       SUM(b.H) AS career_hits,
       SUM(b.AB) AS career_AB,
       SUM(b.H) * 1.0 / NULLIF(SUM(b.AB),0) AS career_BA
FROM lahman_2014.players p
JOIN lahman_2014.batting b ON p.playerID = b.playerID
GROUP BY p.playerID, p.nameFirst, p.nameLast
HAVING SUM(b.AB) >= 500
ORDER BY career_BA DESC
LIMIT 50",Results do not match,4.17234000004828
33,evals_hard,True,NONE,employee,employee.employees,True,True,,find_schema → run_sql → submit,How many employees are part of the 'legacy workforce'?,SELECT COUNT(*) as legacy_workforce_count FROM employee.employees WHERE hire_date < '1990-01-01',SELECT COUNT(*) AS legacy_workforce_count FROM employee.employees e WHERE e.hire_date < '1990-01-01',,4.319567916914821
34,evals_hard,True,NONE,Credit,Credit.charge|Credit.member,True,True,,find_schema → describe(Credit.member) → describe(Credit.charge) → run_sql → run_sql → list_tables(Credit) → submit,"Find the top 25 members (member_no, first name, last name, and net_charge_volume) by net charge volume, where refunds (charge_code 'RF') are subtracted from gross charges.","SELECT m.member_no, m.firstname, m.lastname, SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) as net_charge_volume FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_amt != 0.01 GROUP BY m.member_no, m.firstname, m.lastname ORDER BY net_charge_volume DESC LIMIT 25","SELECT m.member_no,
       m.firstname,
       m.lastname,
       SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) AS net_charge_volume
FROM Credit.member m
LEFT JOIN Credit.charge c ON m.member_no = c.member_no
GROUP BY m.member_no, m.firstname, m.lastname
ORDER BY net_charge_volume DESC
LIMIT 25;",,10.681065958924592
35,evals_hard,False,MISMATCH,world,world.Country|world.CountryLanguage,True,True,,find_schema → describe(world.Country) → describe(world.CountryLanguage) → run_sql → submit,"List countries by continent with their dominant languages where language percentage exceeds 90%, showing whether each language is official.","SELECT co.Continent, co.Name as country, cl.Language, cl.Percentage, cl.IsOfficial FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode WHERE cl.Percentage > 90","SELECT c.Continent, c.Name AS Country, cl.Language, cl.IsOfficial
FROM world.Country c
JOIN world.CountryLanguage cl ON c.Code = cl.CountryCode
WHERE cl.Percentage > 90
ORDER BY c.Continent, c.Name",Results do not match,6.874955125153065
36,evals_hard,True,NONE,employee,employee.employees|employee.salaries,True,True,,find_schema → run_sql → submit,Compare current average salaries between 'Legacy' and 'Recent' workforce.,"SELECT CASE WHEN e.hire_date < '1990-01-01' THEN 'Legacy' ELSE 'Recent' END as cohort, AVG(s.salary) as avg_salary FROM employee.employees e JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE s.to_date = '9999-01-01' GROUP BY CASE WHEN e.hire_date < '1990-01-01' THEN 'Legacy' ELSE 'Recent' END HAVING COUNT(*) >= 10","SELECT CASE WHEN e.hire_date < '1990-01-01' THEN 'Legacy' ELSE 'Recent' END AS workforce_type,
       AVG(s.salary) AS average_salary
FROM employee.employees e
JOIN employee.salaries s ON e.emp_no = s.emp_no AND s.to_date = '9999-01-01'
GROUP BY workforce_type
ORDER BY workforce_type",,3.809376833960414
37,evals_hard,False,MISMATCH,Credit,Credit.charge,False,False,,find_schema → list_tables(financial) → find_schema → describe(financial.trans) → describe(financial.account) → run_sql → submit,Find the top 50 statements by net amount.,"SELECT c.statement_no, SUM(CASE WHEN c.charge_code != 'RF' THEN c.charge_amt ELSE 0 END) as gross_charges, SUM(CASE WHEN c.charge_code = 'RF' THEN c.charge_amt ELSE 0 END) as refunds, SUM(CASE WHEN c.charge_code != 'RF' THEN c.charge_amt ELSE 0 END) - SUM(CASE WHEN c.charge_code = 'RF' THEN c.charge_amt ELSE 0 END) as net_amount FROM Credit.charge c WHERE c.charge_amt != 0.01 GROUP BY c.statement_no ORDER BY net_amount DESC LIMIT 50","SELECT t.account_id,
       SUM(CASE WHEN t.type = 'PRIJEM' THEN t.amount
                WHEN t.type IN ('VYDAJ','VYBER') THEN -t.amount
                ELSE 0 END) AS net_amount
FROM financial.trans t
WHERE t.k_symbol NOT IN ('UROK') AND t.k_symbol IS NOT NULL AND t.k_symbol != ''
GROUP BY t.account_id
ORDER BY net_amount DESC
LIMIT 50",Results do not match,12.897213166579604
38,evals_hard,False,MISMATCH,Chess,Chess.game|Chess.opening,True,True,,find_schema → run_sql → run_sql → submit,Identify games with rating mismatches (Elo difference > 400 points) that should be weighted 0.5x in opening analysis.,"SELECT g.game_id, g.white, g.black, g.whiteElo, g.BlackElo, ABS(g.whiteElo - g.BlackElo) as elo_diff, o.name as opening FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE g.whiteElo IS NOT NULL AND g.BlackElo IS NOT NULL AND ABS(g.whiteElo - g.BlackElo) > 400 AND o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%'","SELECT g.game_id,
       o.name AS opening_name,
       g.whiteElo,
       g.BlackElo,
       0.5 AS weight
FROM Chess.game g
JOIN Chess.opening o ON g.opening_id = o.opening_id
WHERE ABS(g.whiteElo - g.BlackElo) > 400
  AND g.whiteElo IS NOT NULL
  AND g.BlackElo IS NOT NULL
  AND NOT (o.name LIKE '%French%' OR g.opening LIKE '%French%')
  AND NOT (o.name LIKE '%Sicilian%' OR g.opening LIKE '%Sicilian%');",Results do not match,7.257807415910065
39,evals_hard,False,MISMATCH,Credit,Credit.charge|Credit.member,True,True,,find_schema → describe(Credit.member) → describe(Credit.statement) → run_sql → describe(Credit.charge) → list_tables(Credit) → run_sql → run_sql → run_sql → submit,"Find the top 50 member-quarters by charge count. I want to see the member's first and last name, the statement number, the charge count, and the total charges.","SELECT m.firstname, m.lastname, c.statement_no, COUNT(*) as charge_count, SUM(c.charge_amt) as total_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY m.member_no, m.firstname, m.lastname, c.statement_no ORDER BY charge_count DESC LIMIT 50","SELECT m.firstname,
       m.lastname,
       MAX(s.statement_no) AS statement_no,
       DATE_TRUNC('quarter', c.charge_dt) AS quarter,
       COUNT(c.charge_no) AS charge_count,
       SUM(c.charge_amt) AS total_charges
FROM Credit.member AS m
LEFT JOIN Credit.statement AS s ON m.member_no = s.member_no
LEFT JOIN Credit.charge AS c ON s.statement_no = c.statement_no
GROUP BY m.firstname, m.lastname, quarter
ORDER BY charge_count DESC
LIMIT 50",Results do not match,18.099356916733086
40,evals_hard,False,MISMATCH,Credit,Credit.charge,True,True,,find_schema → run_sql → submit,"Group charges by spending type. Show the spending_type, charge_count, and total_amount.","SELECT CASE WHEN c.category_no BETWEEN 1 AND 10 THEN 'Essential' WHEN c.category_no BETWEEN 11 AND 20 THEN 'Discretionary' ELSE 'Other' END as spending_type, COUNT(*) as charge_count, SUM(c.charge_amt) as total_amount FROM Credit.charge c WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY CASE WHEN c.category_no BETWEEN 1 AND 10 THEN 'Essential' WHEN c.category_no BETWEEN 11 AND 20 THEN 'Discretionary' ELSE 'Other' END","SELECT CASE WHEN c.category_no BETWEEN 1 AND 10 THEN 'essential'
            WHEN c.category_no BETWEEN 11 AND 20 THEN 'discretionary'
            ELSE 'other' END AS spending_type,
       COUNT(*) AS charge_count,
       SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) AS total_amount
FROM Credit.charge c
LEFT JOIN Credit.category cat ON c.category_no = cat.category_no
WHERE c.charge_amt >= 5.0
  AND c.charge_amt != 0.01
GROUP BY spending_type
ORDER BY spending_type;",Results do not match,7.897552791051567
41,evals_hard,False,MISMATCH,financial,financial.loan,True,True,,find_schema → describe(financial.loan) → run_sql → submit,"Calculate the loan portfolio size by status for each loan classification. Show the loan classification, count, and total amount.","SELECT CASE WHEN status = 'A' THEN 'Performing' WHEN status = 'B' THEN 'Watch List' WHEN status IN ('C', 'D') THEN 'Non-Performing' END as loan_classification, COUNT(*) as loan_count, SUM(amount) as total_amount FROM financial.loan GROUP BY CASE WHEN status = 'A' THEN 'Performing' WHEN status = 'B' THEN 'Watch List' WHEN status IN ('C', 'D') THEN 'Non-Performing' END","SELECT status AS loan_classification,
       COUNT(*) AS loan_count,
       SUM(amount) AS total_amount
FROM financial.loan
GROUP BY status
ORDER BY status",Results do not match,6.353517292067409
42,evals_hard,False,MISMATCH,CraftBeer,CraftBeer.beers|CraftBeer.breweries,True,True,,find_schema → list_tables(CraftBeer) → describe(CraftBeer.beers) → describe(CraftBeer.breweries) → find_schema → run_sql → submit,"List 'high-gravity' beers along with their brewery information and abv. Note: ABV is stored as a decimal (e.g., 0.095 for 9.5%).","SELECT b.name as beer_name, b.abv as abv_percent, b.style, br.name as brewery_name, br.city, br.state FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv >= 0.095 ORDER BY b.abv DESC","SELECT b.name AS beer_name, b.abv, br.name AS brewery_name, br.city, br.state FROM CraftBeer.beers b LEFT JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv >= 0.095",Results do not match,9.797230333089828
43,evals_hard,True,NONE,Hockey,Hockey.Master|Hockey.Scoring,True,True,,find_schema → describe(Hockey.Master) → run_sql → submit,"Find the top 50 NHL players by career points, only including players with at least 5 seasons.","SELECT s.playerID, m.firstName, m.lastName, SUM(s.Pts) as career_points, COUNT(DISTINCT s.year) as seasons FROM Hockey.Scoring s JOIN Hockey.Master m ON s.playerID = m.playerID WHERE s.lgID = 'NHL' GROUP BY s.playerID, m.firstName, m.lastName HAVING COUNT(DISTINCT s.year) >= 5 ORDER BY career_points DESC LIMIT 50","SELECT m.playerID, m.firstName, m.lastName,
       SUM(s.Pts) AS career_points,
       COUNT(DISTINCT s.year) AS seasons
FROM Hockey.Master m
JOIN Hockey.Scoring s ON m.playerID = s.playerID
WHERE s.lgID != 'WHA'
GROUP BY m.playerID, m.firstName, m.lastName
HAVING COUNT(DISTINCT s.year) >= 5
ORDER BY career_points DESC
LIMIT 50",,6.108529415912926
44,evals_hard,False,MISMATCH,ErgastF1,ErgastF1.drivers|ErgastF1.lapTimes,True,True,,find_schema → list_tables(ErgastF1) → describe(ErgastF1.lapTimes) → run_sql → describe(ErgastF1.drivers) → run_sql → submit,Find the top 30 driver names by fastest lap time.,"SELECT d.forename, d.surname, MIN(lt.milliseconds) as fastest_lap_ms FROM ErgastF1.lapTimes lt JOIN ErgastF1.drivers d ON lt.driverId = d.driverId WHERE lt.milliseconds >= 60000 GROUP BY d.driverId, d.forename, d.surname ORDER BY fastest_lap_ms ASC LIMIT 30","SELECT d.forename || ' ' || d.surname AS driver_name,
       MIN(lt.milliseconds) AS fastest_lap_ms
FROM ErgastF1.lapTimes lt
JOIN ErgastF1.drivers d ON lt.driverId = d.driverId
GROUP BY d.driverId, d.forename, d.surname
ORDER BY fastest_lap_ms ASC
LIMIT 30;",Results do not match,10.531176291406155
45,evals_hard,True,NONE,lahman_2014,lahman_2014.halloffame|lahman_2014.players,True,True,,find_schema → run_sql → submit,"Find the top 50 Hall of Fame voting results by BBWAA with at least 75% support, showing vote percentages. Give the player's first and last name, the year, the vote percentage.","SELECT p.nameFirst, p.nameLast, h.yearID, CAST(h.votes AS REAL) / h.ballots * 100 as vote_percentage FROM lahman_2014.halloffame h JOIN lahman_2014.players p ON h.hofID = p.hofID WHERE h.votedBy = 'BBWAA' AND h.ballots > 0 AND CAST(h.votes AS REAL) / h.ballots >= 0.75 ORDER BY vote_percentage DESC LIMIT 50","SELECT p.nameFirst AS first_name,
       p.nameLast AS last_name,
       h.yearID AS year,
       (h.votes::float / h.ballots) * 100 AS vote_percentage
FROM lahman_2014.halloffame h
JOIN lahman_2014.players p ON h.hofID = p.hofID
WHERE h.votedBy = 'BBWAA'
  AND h.category = 'Player'
  AND (h.votes::float / h.ballots) >= 0.75
ORDER BY vote_percentage DESC
LIMIT 50",,4.625005416572094
46,evals_hard,True,NONE,financial,financial.loan,True,True,,find_schema → run_sql → run_sql → submit,Find the default rate for loans.,"SELECT CAST(COUNT(CASE WHEN status IN ('C', 'D') THEN 1 END) AS REAL) / COUNT(CASE WHEN status NOT IN ('B') THEN 1 END) as default_rate_pct FROM financial.loan","SELECT CAST(SUM(CASE WHEN status IN ('C','D') THEN 1 ELSE 0 END) AS DOUBLE) / SUM(CASE WHEN status != 'B' THEN 1 ELSE 0 END) AS default_rate
FROM financial.loan",,5.178226207382977
47,evals_hard,False,MISMATCH,lahman_2014,lahman_2014.batting|lahman_2014.halloffame|lahman_2014.players,True,True,,find_schema → run_sql → submit,Find the names and years of the top 50 Hall of Fame players by career hits.,"SELECT p.nameFirst, p.nameLast, h.yearID as inducted_year, sum(b.H) as career_hits FROM lahman_2014.halloffame h JOIN lahman_2014.players p ON h.hofID = p.hofID JOIN lahman_2014.batting b ON p.playerID = b.playerID WHERE h.inducted = 'Y' AND h.category = 'Player' GROUP BY p.playerID, p.nameFirst, p.nameLast, h.yearID HAVING SUM(b.AB) >= 100 ORDER BY career_hits DESC LIMIT 50","SELECT p.nameFirst || ' ' || p.nameLast AS player_name, h.yearID AS induction_year
FROM lahman_2014.players p
JOIN lahman_2014.batting b ON p.playerID = b.playerID
JOIN lahman_2014.halloffame h ON p.hofID = h.hofID
WHERE h.inducted = 'Y' AND h.category = 'Player'
GROUP BY p.playerID, p.nameFirst, p.nameLast, h.yearID
ORDER BY SUM(b.H) DESC
LIMIT 50",Results do not match,4.769779916852713
48,evals_hard,False,MISMATCH,Airline,Airline.On_Time_On_Time_Performance_2016_1,True,True,,find_schema → run_sql → submit,"Find the top route with the most severe delays. Only count completed flights. Show the origin, destination, and number of severe delays.","SELECT Origin, Dest, COUNT(*) as severe_delay_count FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE ArrDelayMinutes > 180 AND DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY Origin, Dest ORDER BY severe_delay_count DESC LIMIT 1","SELECT Origin, Dest, COUNT(*) AS severe_delay_count
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL
  AND ArrDelayMinutes > 180
GROUP BY Origin, Dest
ORDER BY severe_delay_count DESC
LIMIT 1",Results do not match,4.376600332558155
49,evals_hard,True,NONE,Chess,Chess.game|Chess.opening,True,True,,find_schema → run_sql → submit,What are the top three openings by games played? Count games separately for each opening_id (do not deduplicate by name).,"SELECT o.name as opening_name, COUNT(*) as game_count FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY o.opening_id, o.name ORDER BY game_count DESC LIMIT 3","SELECT g.opening_id,
       o.name,
       COUNT(*) AS games
FROM Chess.game g
JOIN Chess.opening o ON g.opening_id = o.opening_id
WHERE NOT (o.name LIKE '%French%' OR g.opening LIKE '%French%')
  AND NOT (o.name LIKE '%Sicilian%' OR g.opening LIKE '%Sicilian%')
GROUP BY g.opening_id, o.name
ORDER BY games DESC
LIMIT 3",,5.23635333403945
50,evals_hard,True,NONE,CraftBeer,CraftBeer.beers|CraftBeer.breweries,True,True,,find_schema → list_tables(CraftBeer) → describe(CraftBeer.breweries) → run_sql → submit,Identify the top 30 microbreweries with the smallest beer catalogs.,"SELECT br.id, br.name, COUNT(b.id) as beer_count FROM CraftBeer.breweries br JOIN CraftBeer.beers b ON br.id = b.brewery_id GROUP BY br.id, br.name HAVING COUNT(b.id) < 3 ORDER BY beer_count ASC, br.name LIMIT 30","SELECT br.id, br.name, br.city, br.state, COUNT(DISTINCT b.id) AS beer_count
FROM CraftBeer.breweries AS br
LEFT JOIN CraftBeer.beers AS b ON b.brewery_id = br.id
GROUP BY br.id, br.name, br.city, br.state
ORDER BY beer_count ASC, br.name
LIMIT 30",,17.45231558289379
51,evals_hard,False,MISMATCH,ErgastF1,ErgastF1.constructors|ErgastF1.drivers|ErgastF1.races|ErgastF1.results,True,True,,find_schema → run_sql → submit,"Compare Mercedes teammate performance in the 2015 F1 season, showing race-by-race position comparisons where both drivers finished. Return raceId, year, constructor name, driver1 surname, driver2 surname, driver1_pos, and driver2_pos.","SELECT r1.raceId, ra.year, c.name as constructor, d1.surname as driver1, d2.surname as driver2, r1.position as driver1_pos, r2.position as driver2_pos FROM ErgastF1.results r1 JOIN ErgastF1.results r2 ON r1.raceId = r2.raceId AND r1.constructorId = r2.constructorId AND r1.driverId < r2.driverId JOIN ErgastF1.drivers d1 ON r1.driverId = d1.driverId JOIN ErgastF1.drivers d2 ON r2.driverId = d2.driverId JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId JOIN ErgastF1.races ra ON r1.raceId = ra.raceId WHERE r1.position IS NOT NULL AND r2.position IS NOT NULL AND r1.position > 0 AND r2.position > 0 AND ra.year = 2015 AND c.name = 'Mercedes'","SELECT r1.raceId,
       ra.year,
       c.constructorRef AS constructor_name,
       d1.driverRef AS driver1_surname,
       d2.driverRef AS driver2_surname,
       r1.position AS driver1_pos,
       r2.position AS driver2_pos
FROM ErgastF1.results r1
JOIN ErgastF1.results r2
  ON r1.raceId = r2.raceId
 AND r1.constructorId = r2.constructorId
JOIN ErgastF1.races ra ON r1.raceId = ra.raceId
JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId
JOIN ErgastF1.drivers d1 ON r1.driverId = d1.driverId
JOIN ErgastF1.drivers d2 ON r2.driverId = d2.driverId
WHERE ra.year = 2015
  AND c.constructorRef = 'mercedes'
  AND r1.position IS NOT NULL AND r1.position > 0
  AND r2.position IS NOT NULL AND r2.position > 0
  AND d1.driverRef IN ('hamilton','rosberg')
  AND d2.driverRef IN ('hamilton','rosberg')
  AND d1.driverRef < d2.driverRef
ORDER BY r1.raceId;",Results do not match,7.983054833486676
52,evals_hard,True,NONE,Accidents,Accidents.nesreca,True,True,,find_schema → run_sql → submit,"Count accidents by administrative unit, only for units with more than 100 accidents for statistical significance.","SELECT n.upravna_enota, COUNT(*) as accident_count FROM Accidents.nesreca n GROUP BY n.upravna_enota HAVING COUNT(*) > 100","SELECT u.id_upravna_enota,
       u.ime_upravna_enota,
       COUNT(*) AS accident_count
FROM Accidents.nesreca n
JOIN Accidents.upravna_enota u ON n.upravna_enota = u.id_upravna_enota
WHERE n.klas_nesreca IS NOT NULL
  AND n.vzrok_nesreca IS NOT NULL
  AND n.tip_nesreca IS NOT NULL
GROUP BY u.id_upravna_enota, u.ime_upravna_enota
HAVING COUNT(*) > 100
ORDER BY accident_count DESC",,4.103254584595561
53,evals_hard,True,NONE,imdb_MovieLens,imdb_MovieLens.u2base,True,True,,find_schema → run_sql → submit,"Identify 'super users' by id in the movie ratings data, showing the number of ratings they've given.","SELECT u.userid, COUNT(*) as ratings_given FROM imdb_MovieLens.u2base u GROUP BY u.userid HAVING COUNT(*) > 1000","SELECT ub.userid, COUNT(*) AS rating_count
FROM imdb_MovieLens.u2base ub
GROUP BY ub.userid
HAVING COUNT(*) > 1000
ORDER BY rating_count DESC",,3.2220359165221453
54,evals_hard,False,MISMATCH,Airline,Airline.On_Time_On_Time_Performance_2016_1,True,True,,find_schema → run_sql → run_sql → submit,What is the on-time performance percentage for each unique airline carrier? Round the percentage to 2 decimal places.,"SELECT UniqueCarrier, ROUND((SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)), 2) as on_time_percentage FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND Diverted = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY UniqueCarrier","SELECT UniqueCarrier,
       ROUND(100.0 * SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) / COUNT(*), 2) AS on_time_percentage
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL
GROUP BY UniqueCarrier
ORDER BY UniqueCarrier",Results do not match,6.457181458361447
55,evals_hard,True,NONE,employee,employee.departments|employee.dept_emp|employee.dept_manager,True,True,,find_schema → run_sql → submit,"Calculate the current headcount by department based on their current department assignment, counting each employee only once based on their most recent department assignment. Be sure to return departments by name, not id.","SELECT d.dept_name, COUNT(DISTINCT de.emp_no) as headcount FROM employee.dept_emp de JOIN employee.departments d ON de.dept_no = d.dept_no WHERE de.to_date = '9999-01-01' AND de.emp_no NOT IN (SELECT emp_no FROM employee.dept_manager WHERE to_date = '9999-01-01') GROUP BY d.dept_name","WITH latest_dept AS (
  SELECT de.emp_no, de.dept_no,
         ROW_NUMBER() OVER (PARTITION BY de.emp_no ORDER BY de.from_date DESC) AS rn
  FROM employee.dept_emp de
  WHERE de.to_date = '9999-01-01'
)
SELECT d.dept_name, COUNT(*) AS headcount
FROM latest_dept ld
JOIN employee.employees e ON ld.emp_no = e.emp_no
JOIN employee.departments d ON ld.dept_no = d.dept_no
WHERE ld.rn = 1
  AND e.emp_no NOT IN (SELECT emp_no FROM employee.dept_manager WHERE to_date = '9999-01-01')
GROUP BY d.dept_name
ORDER BY d.dept_name;",,6.794579500332475
56,evals_hard,False,MISMATCH,world,world.Country,False,False,,find_schema → describe(nations.stat) → run_sql → submit,"Find countries with small populations (< 100,000) - economic data for these may be unreliable. Exclude countries with population = 0. Show their name, population, and gross national product.","SELECT c.Name, c.Population, c.GNP FROM world.Country c WHERE c.Population < 100000 AND c.Population > 0","SELECT c.country AS name, s.popabs AS population, s.GNP AS gross_national_product
FROM nations.country c
JOIN nations.stat s ON c.country_id = s.country_id
WHERE s.popabs > 0 AND s.popabs < 100000",Results do not match,4.627811665646732
57,evals_hard,False,MISMATCH,CraftBeer,CraftBeer.beers|CraftBeer.breweries,True,True,,find_schema → describe(CraftBeer.beers) → describe(CraftBeer.breweries) → run_sql → submit,"Find beers with 'extreme' bitterness. Return the beer name, IBU, style, and brewery name.","SELECT b.name as beer_name, b.ibu, b.style, br.name as brewery_name FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.ibu > 100","SELECT b.name AS beer_name,
       b.ibu,
       b.style,
       br.name AS brewery_name
FROM CraftBeer.beers b
LEFT JOIN CraftBeer.breweries br ON b.brewery_id = br.id
WHERE b.ibu >= 100
ORDER BY b.ibu DESC",Results do not match,4.971626208163798
58,evals_hard,True,NONE,financial,financial.account|financial.district,True,True,,find_schema → run_sql → submit,"Find district names (A2) with fewer than 50 accounts that should be aggregated as 'Other' for reporting, as well as their account counts.","SELECT d.A2 as district_name, COUNT(a.account_id) as account_count FROM financial.district d LEFT JOIN financial.account a ON d.district_id = a.district_id GROUP BY d.district_id, d.A2 HAVING COUNT(a.account_id) < 50","SELECT d.A2 AS district_name, COUNT(a.account_id) AS account_count
FROM financial.account a
JOIN financial.district d ON a.district_id = d.district_id
GROUP BY d.district_id, d.A2
HAVING COUNT(a.account_id) < 50",,4.126499208621681
59,evals_hard,False,MISMATCH,Credit,Credit.charge|Credit.member,True,True,,find_schema → describe(Credit.member) → describe(Credit.charge) → run_sql → find_schema → run_sql → submit,"Identify the top 30 members (first, last) by cumulative lifetime charges.","SELECT m.firstname, m.lastname, SUM(c.charge_amt) as lifetime_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_code != 'RF' AND c.charge_amt != 0.01 GROUP BY m.member_no, m.firstname, m.lastname ORDER BY lifetime_charges DESC LIMIT 30","SELECT m.firstname, m.lastname,
       SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) AS lifetime_charge
FROM Credit.member m
JOIN Credit.charge c ON m.member_no = c.member_no
WHERE c.charge_amt >= 5.0
  AND c.charge_amt != 0.01
GROUP BY m.member_no, m.firstname, m.lastname
ORDER BY lifetime_charge DESC
LIMIT 30",Results do not match,11.507965084165335
